# RX Frame to Height Mapping (from list_of_heights.txt)
# Format: <frame bytes>   <height>
# Height starts at 62.0, increments by 0.1 until 99.9, then by 1.0
 
B4 EA 6B BB 9F 20   62.0
B4 EA 6B 3B 83 20   62.1
B4 EA 6B BB AD 20   62.2
B4 EA 6B BB A7 20   62.3
B4 EA 6B 3B B3 20   62.4
B4 EA 6B BB B6 20   62.5
B4 EA 6B BB BE 20   62.6
B4 EA 6B BB 83 20   62.7
B4 EA 6B BB BF 20   62.8
B4 EA 6B BB B7 20   62.9
B4 EA EB B9 9F 20   63.0
B4 EA EB 39 83 20   63.1
B4 EA EB B9 AD 20   63.2
B4 EA EB B9 A7 20   63.3
B4 EA EB 39 B3 20   63.4
B4 EA EB B9 B6 20   63.5
B4 EA EB B9 BE 20   63.6
B4 EA EB B9 83 20   63.7
B4 EA EB B9 BF 20   63.8
B4 EA EB B9 B7 20   63.9
B4 EA CB BC 9F 20   64.0
B4 EA CB 3C 83 20   64.1
B4 EA CB BC AD 20   64.2
B4 EA CB BC A7 20   64.3
B4 EA CB 3C B3 20   64.4
B4 EA CB BC B6 20   64.5
B4 EA CB BC BE 20   64.6
B4 EA CB BC 83 20   64.7
B4 EA CB BC BF 20   64.8
B4 EA CB BC B7 20   64.9
B4 EA AB BD 9F 20   65.0
B4 EA AB 3D 83 20   65.1
B4 EA AB BD AD 20   65.2
B4 EA AB BD A7 20   65.3
B4 EA AB 3D B3 20   65.4
B4 EA AB BD B6 20   65.5
B4 EA AB BD BE 20   65.6
B4 EA AB BD 83 20   65.7
B4 EA AB BD BF 20   65.8
B4 EA AB BD B7 20   65.9
B4 EA AB BF 9F 20   66.0
B4 EA AB 3F 83 20   66.1
B4 EA AB BF AD 20   66.2
B4 EA AB BF A7 20   66.3
B4 EA AB 3F B3 20   66.4
B4 EA AB BF B6 20   66.5
B4 EA AB BF BE 20   66.6
B4 EA AB BF 83 20   66.7
B4 EA AB BF BF 20   66.8
B4 EA AB BF B7 20   66.9
B4 EA EB B0 9F 20   67.0
B4 EA EB 30 83 20   67.1
B4 EA EB B0 AD 20   67.2
B4 EA EB B0 A7 20   67.3
B4 EA EB 30 B3 20   67.4
B4 EA EB B0 B6 20   67.5
B4 EA EB B0 BE 20   67.6
B4 EA EB B0 83 20   67.7
